team_name,ranking,conference,team_id
Celtics,10,Western,15
Suns,7,Eastern,22
Hawks,11,Eastern,7
Nuggets,20,Eastern,26
Knicks,6,Eastern,8
Jazz,2,Eastern,21
Wizards,22,Eastern,3
Spurs,4,Western,2
Pistons,25,Eastern,22
Bulls,26,Western,18
Pacers,11,Eastern,5
Knicks,17,Eastern,9
Bucks,17,Western,27
Pacers,21,Eastern,6
Hornets,30,Eastern,17
Nets,15,Western,4
Clippers,11,Western,2
Celtics,16,Eastern,14
Celtics,25,Western,16
Wizards,1,Western,13
Magic,21,Eastern,1
Heat,18,Western,28
Thunder,3,Western,29
76ers,16,Eastern,11
Clippers,17,Western,20
Cavaliers,6,Western,2
Pelicans,26,Eastern,15
Magic,13,Western,3
Hornets,30,Western,6
Wizards,13,Eastern,22
